row,Year,Product_type,Brand,Title,Ticker,Mkt_Date,Mkt_Date_plus6,close,close_plus6,market_cap_cur,shares_out,year_inc,spx_close,spx_plus6,rtn_vs_spx,rtn,spx
17,1993,Food,McDonald's,Showdown,MCD,2/1/1993,8/2/1993,$12.31 ,$12.94 ,"$217,414,390,735 ","730,031,700",1964,355.38,371.54,0.005307029,0.050761421,0.045454392
28,1996,Food,McDonald's,Baby Swing,MCD,1/29/1996,7/29/1996,$25.19 ,$22.94 ,"$217,414,390,735 ","730,031,700",1964,672,840,-0.339329913,-0.089330025,0.249999888
33,1997,Food,Eggo,Grandma,K,1/27/1997,7/28/1997,$33.19 ,$45.75 ,"$24,202,654,966 ","342,668,200",1922,766.23,655.85,0.522592963,0.378531073,-0.144061889
34,1997,Food,Lays,Nuzzle and Nibble,PEP,1/27/1997,7/28/1997,$34.13 ,$38.44 ,"$263,160,028,394 ","1,377,693,000",1986,766.23,655.85,0.270435516,0.126373626,-0.144061889
35,1997,Food,Lays,Party,PEP,1/27/1997,7/28/1997,$34.13 ,$38.44 ,"$263,160,028,394 ","1,377,693,000",1986,766.23,655.85,0.270435516,0.126373626,-0.144061889
49,1998,Food,Doritos,Laundromat,PEP,1/26/1998,7/27/1998,$36.44 ,$40.00 ,"$263,160,028,394 ","1,377,693,000",1986,586.92,533.08,0.189513317,0.097770154,-0.091743163
50,1998,Food,Hormel,Bold Innovations,HRL,1/26/1998,7/27/1998,$4.09 ,$4.31 ,"$21,956,959,257 ","546,532,900",1928,586.92,533.08,0.147202181,0.055459018,-0.091743163
51,1998,Food,Tabasco Sauce,Mosquito,Private,1/26/1998,7/27/1998,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,586.92,533.08,#VALUE!,#VALUE!,-0.091743163
53,1998,Food,Pizza Hut,Elvis,YUM,1/26/1998,7/27/1998,$4.79 ,$6.60 ,"$39,876,146,408 ","280,107,800",1997,586.92,533.08,0.469683909,0.377940746,-0.091743163
76,1999,Food,Doritos,Smokin,PEP,2/1/1999,8/2/1999,$38.13 ,$38.56 ,"$263,160,028,394 ","1,377,693,000",1986,537.92,669.31,-0.23276889,0.01147541,0.2442443
78,1999,Food,Pizza Hut,New Yorker,YUM,2/1/1999,8/2/1999,$8.31 ,$7.37 ,"$39,876,146,408 ","280,107,800",1997,537.92,669.31,-0.3577623,-0.113518,0.2442443
88,2000,Food,M&M's,Sexy Girl,"Private(Mars,Inc.)",1/31/2000,7/31/2000,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,429.15,358.62,#VALUE!,#VALUE!,-0.164366405
126,2001,Food,George Foreman Grill,Colors,SPB,1/29/2001,7/30/2001,#VALUE!,#VALUE!,"$2,724,541,344 ","41,004,460",2009,414.62,451.77,#VALUE!,#VALUE!,0.089610232
137,2002,Food,Lipton Brisk,Puppet Strike,UL,2/4/2002,8/5/2002,$18.39 ,$19.62 ,"$140,821,500,000 ","2,524,789,000",1894,410.85,421.08,0.042170937,0.067072707,0.02490177
163,2004,Food,Lay's,Dentures,PEP,2/2/2004,8/2/2004,$47.94 ,$51.08 ,"$263,160,028,394 ","1,377,693,000",1986,577.23,588.54,0.045908982,0.06549854,0.019589558
216,2009,Food,Doritos,Crystal Ball,PEP,2/2/2009,8/3/2009,$50.13 ,$56.20 ,"$263,160,028,394 ","1,377,693,000",1986,892.77,996.15,0.00528296,0.121085179,0.115802218
217,2009,Food,Doritos,The Power of Crunch,PEP,2/2/2009,8/3/2009,$50.13 ,$56.20 ,"$263,160,028,394 ","1,377,693,000",1986,892.77,996.15,0.00528296,0.121085179,0.115802218
222,2009,Food,Denny's,Mafia,DENN,2/2/2009,8/3/2009,$1.92 ,$2.50 ,"$630,328,111 ","56,506,330",1988,892.77,996.15,0.186281115,0.302083333,0.115802218
229,2010,Food,Snickers,Betty White,"Private(Mars,Inc.)",2/8/2010,8/9/2010,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,"1,339.69","1,678.92",#VALUE!,#VALUE!,0.25321542
242,2010,Food,Doritos,Boyfriend,PEP,2/8/2010,8/9/2010,$58.96 ,$66.42 ,"$263,160,028,394 ","1,377,693,000",1986,"1,339.69","1,678.92",-0.126688961,0.126526459,0.25321542
243,2010,Food,Doritos,Dog,PEP,2/8/2010,8/9/2010,$58.96 ,$66.42 ,"$263,160,028,394 ","1,377,693,000",1986,"1,339.69","1,678.92",-0.126688961,0.126526459,0.25321542
244,2010,Food,Doritos,Funeral,PEP,2/8/2010,8/9/2010,$58.96 ,$66.42 ,"$263,160,028,394 ","1,377,693,000",1986,"1,339.69","1,678.92",-0.126688961,0.126526459,0.25321542
245,2010,Food,Doritos,Tim,PEP,2/8/2010,8/9/2010,$58.96 ,$66.42 ,"$263,160,028,394 ","1,377,693,000",1986,"1,339.69","1,678.92",-0.126688961,0.126526459,0.25321542
248,2010,Food,McDonald's,Check This,MCD,2/8/2010,8/9/2010,$62.92 ,$72.92 ,"$217,414,390,735 ","730,031,700",1964,"1,339.69","1,678.92",-0.094283443,0.158931977,0.25321542
274,2011,Food,Doritos,Love,PEP,2/7/2011,8/8/2011,$63.68 ,$62.97 ,"$263,160,028,394 ","1,377,693,000",1986,"2,019.23","1,775.85",0.109383828,-0.011149497,-0.120533326
275,2011,Food,Doritos,Teasing,PEP,2/7/2011,8/8/2011,$63.68 ,$62.97 ,"$263,160,028,394 ","1,377,693,000",1986,"2,019.23","1,775.85",0.109383828,-0.011149497,-0.120533326
281,2012,Food,M&M's,Just My Shell,"Private(Mars,Inc.)",2/6/2012,8/6/2012,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,"2,249.69","2,156.00",#VALUE!,#VALUE!,-0.041646701
299,2013,Food,Wonderful Pistachios,,LKQ,2/4/2013,8/5/2013,$22.64 ,$29.30 ,"$15,198,092,342 ","267,289,700",1998,"2,476.92","3,021.93",0.07413796,0.294169611,0.220031651
306,2014,Food,Doritos,,PEP,2/3/2014,8/4/2014,$78.57 ,$89.69 ,"$263,160,028,394 ","1,377,693,000",1986,"2,973.19","2,749.19",0.216869925,0.141529846,-0.075340079
313,2015,Food,Skittles ,,"Private(Mars,Inc.)",2/2/2015,8/3/2015,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,"3,181.63","3,372.00",#VALUE!,#VALUE!,0.059834277
314,2015,Food,Snickers ,,"Private(Mars,Inc.)",2/2/2015,8/3/2015,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,"3,181.63","3,372.00",#VALUE!,#VALUE!,0.059834277
339,2015,Food,Avocados From Mexico ,,Private(MexicanHassAvocadoImportersAssociation),2/2/2015,8/3/2015,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,"3,181.63","3,372.00",#VALUE!,#VALUE!,0.059834277
340,2015,Food,Doritos ,,PEP,2/2/2015,8/3/2015,$95.33 ,$97.45 ,"$263,160,028,394 ","1,377,693,000",1986,"3,181.63","3,372.00",-0.037595737,0.02223854,0.059834277
341,2015,Food,Doritos ,,PEP,2/2/2015,8/3/2015,$95.33 ,$97.45 ,"$263,160,028,394 ","1,377,693,000",1986,"3,181.63","3,372.00",-0.037595737,0.02223854,0.059834277
342,2015,Food,McDonald's ,,MCD,2/2/2015,8/3/2015,$92.51 ,$99.42 ,"$217,414,390,735 ","730,031,700",1964,"3,181.63","3,372.00",0.014860351,0.074694628,0.059834277
372,2016,Food,Doritos ,,PEP,2/8/2016,8/8/2016,$97.52 ,$108.14 ,"$263,160,028,394 ","1,377,693,000",1986,"2,757.00","4,102.00",-0.378948373,0.108900738,0.487849111
373,2016,Food,Doritos ,,PEP,2/8/2016,8/8/2016,$97.52 ,$108.14 ,"$263,160,028,394 ","1,377,693,000",1986,"2,757.00","4,102.00",-0.378948373,0.108900738,0.487849111
374,2016,Food,Heinz ,,KHC,2/8/2016,8/8/2016,$71.22 ,$88.75 ,"$48,362,165,585 ","1,226,999,000",2013,"2,757.00","4,102.00",-0.241710386,0.246138725,0.487849111
375,2016,Food,Skittles ,,"Private(Mars,Inc.)",2/8/2016,8/8/2016,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,"2,757.00","4,102.00",#VALUE!,#VALUE!,0.487849111
410,2017,Food,Buffalo Wild Wings ,,"Private(Arby'sRestaurantGroup,Inc.)",2/6/2017,8/7/2017,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,"4,448.00","5,635.00",#VALUE!,#VALUE!,0.266861511
